Sentence,Skill
What is the distance between <CITY1> to <CITY2>?,1.00
What is the distance between maastricht to heerlen?,1.00
What is the distance between Istanbul to New York,1.00
What is the distance between to ?,1.00
What is the distance between Paris and London?, 1.00
How far is it from Rome to Milan?, 1.00
Calculate the distance between Sydney and Melbourne., 1.00
Find the travel distance from Tokyo to Osaka., 1.00
Tell me the distance between Berlin and Munich., 1.00
What's the distance from Madrid to Barcelona?, 1.00
Give me the distance between Beijing and Shanghai., 1.00
Determine the road distance between Vancouver and Toronto., 1.00
How long does it take to travel from New Delhi to Mumbai?, 1.00
Provide the distance between Cairo and Alexandria., 1.00
Can you tell me the distance from Los Angeles to San Francisco?, 1.00
What's the travel distance between Stockholm and Gothenburg?, 1.00
How far is it from Amsterdam to Rotterdam?, 1.00
Calculate the driving distance from Lisbon to Porto., 1.00
Find the road distance between Dublin and Cork., 1.00
Tell me the distance from Prague to Bratislava., 1.00
What's the travel distance between Vienna and Salzburg?, 1.00
Provide the road distance from Budapest to Debrecen., 1.00
Determine the distance between Warsaw and Krakow., 1.00
How long does it take to travel from Oslo to Bergen?, 1.00
Give me the travel time from Helsinki to Tampere., 1.00
Can you tell me the driving time between Copenhagen and Aarhus?, 1.00
What's the distance from Athens to Thessaloniki?, 1.00
Calculate the road distance between Istanbul and Ankara., 1.00
Find the travel distance from Rome to Venice., 1.00
Tell me the driving distance between Sydney and Brisbane., 1.00
How far is it from Tokyo to Kyoto?, 1.00
Provide the distance between Madrid and Valencia., 1.00
Determine the road distance between Berlin and Hamburg., 1.00
What's the travel distance between London and Edinburgh?, 1.00
Give me the distance from Paris to Marseille., 1.00
Can you tell me the travel time from New York to Washington?, 1.00
What's the distance between San Francisco and Los Angeles?, 1.00
Calculate the driving distance between Toronto and Montreal., 1.00
Find the road distance from Mumbai to Bangalore., 1.00
Tell me the distance between Dubai and Abu Dhabi., 1.00
How far is it from Beijing to Guangzhou?, 1.00
Provide the travel distance between Shanghai and Beijing., 1.00
Determine the distance between Sydney and Perth., 1.00
What's the travel time from Melbourne to Brisbane?, 1.00
Give me the distance between Helsinki and Turku., 1.00
Can you tell me the driving distance from Stockholm to Uppsala?, 1.00
What's the road distance between Oslo and Stavanger?, 1.00
Calculate the distance from Amsterdam to The Hague., 1.00
How do I get from Maastricht to Heerlen at 9,2.00
How do I get from Maastricht to Heerlen at 11,2.00
How do I get from Maastricht to Sittard at 11,2.00
How do I get from Maastricht to Maastricht,2.00
ow can I travel from Maastricht to Heerlen at 9?,2.00
How can I go from Maastricht to Heerlen at 11?,2.00
How do I get to Heerlen from Maastricht at 9?,2.00
How do I reach Heerlen from Maastricht at 11?,2.00
How do I travel between Maastricht and Heerlen at 9?,2.00
How can I get to Heerlen from Maastricht at 11?,2.00
How can I commute from Maastricht to Heerlen at 9?,2.00
How can I go from Maastricht to Heerlen around 11?,2.00
How do I get from Maastricht to Heerlen at 9 o'clock?,2.00
How do I travel from Maastricht to Heerlen at 11 in the morning?,2.00
How can I get to Heerlen from Maastricht at 9 am?,2.00
How can I reach Heerlen from Maastricht around 11 am?,2.00
How do I travel between Maastricht and Heerlen at 9 in the morning?,2.00
How can I go from Maastricht to Heerlen at 11 o'clock?,2.00
How can I commute from Maastricht to Heerlen at 9 in the morning?,2.00
How can I travel from Maastricht to Heerlen at 11 am?,2.00
How do I get to Heerlen from Maastricht at 9 in the morning?,2.00
How do I reach Heerlen from Maastricht around 11 in the morning?,2.00
How do I travel between Maastricht and Heerlen at 9 am?,2.00
How can I get to Heerlen from Maastricht at 11 in the morning?,2.00
How can I commute from Maastricht to Heerlen at 9 o'clock?,2.00
How can I go from Maastricht to Heerlen at 11 am?,2.00
How do I get from Maastricht to Heerlen at 9 in the morning?,2.00
How do I travel from Maastricht to Heerlen around 11 am?,2.00
How can I get to Heerlen from Maastricht at 9 in the morning?,2.00
How can I reach Heerlen from Maastricht at 11 am?,2.00
How do I travel between Maastricht and Heerlen at 9 o'clock?,2.00
How can I go from Maastricht to Heerlen at 11 in the morning?,2.00
How can I commute from Maastricht to Heerlen at 9 am?,2.00
How do I get from <TOWN> to <TOWN> at <TIME>?,2.00
